Recipe_Name,Review_Count,Author,Prepare_Time,Cook_Time,Total_Time,Ingredients,Directions,RecipeID,Recipe_Photo
Golden Crescent Rolls Recipe ,304,Mike A.,25 m,15 m,3 h 10 m,"yeast,water,white sugar,salt,egg,butter,flour,butter","Dissolve yeast in warm water.**Stir in sugar, salt, eggs, butter, and 2 cups of flour. Beat until smooth. Mix in remaining flour until smooth. Scrape dough from side of bowl. Knead dough, then cover it and let rise in a warm place until double (about 1 1/2 hours).**Punch down dough. Divide in half. Roll each half into a 12-inch circle. Spread with butter. Cut into 10 to 15 wedge. Roll up the wedges starting with the wide end. Place rolls with point under on a greased baking sheet. Cover and let rise until double (about 1 hour).**Bake at 400 degrees F (205 degrees C) for 12-15 minute or until golden brown. Brush tops with butter when they come out of the oven.**",7000,https://images.media-allrecipes.com/userphotos/560x315/4465807.jpg
Poppy Seed Bread with Glaze Recipe ,137,Christina Jun,15 m,1 h,1 h 20 m,"flour,salt,baking powder,poppy,butter,vegetable oil,egg,milk,white sugar,vanilla,almond,orange juice,butter,almond,vanilla,sugar","^Preheat oven to 350 degrees F (175 degrees C). Grease bottoms of two 9-inch loaf pans.**Mix together flour, salt, baking powder, poppy seeds, butter flavoring, oil, eggs, milk, sugar, vanilla, and almond flavoring. Pour into prepared pans.**Bake at 350 degrees F (175 degrees C) for one hour. Cool 5 minutes. Poke holes in top of loaves and pour glaze over.**To make glaze: Mix orange juice, 1/2 teaspoon butter flavoring, 1/2 teaspoon almond flavoring, and 1 teaspoon vanilla. Add enough confectioners^^ sugar to make glaze.**^",7001,https://images.media-allrecipes.com/userphotos/560x315/34726.jpg
Applesauce Bread I Recipe ,124,GAF55,10 m,1 h 20 m,1 h 30 m,"flour,egg,white sugar,vegetable oil,applesauce,raisin,cinnamon,baking soda,baking powder,sour cream","Preheat oven to 350 degrees F (175 degrees C).  Grease and flour two 9 x 5 inch loaf pans.**Beat together eggs, sugar, and oil.  Blend in applesauce, and then sour cream or buttermilk.  Mix in flour, baking powder, soda, and cinnamon. Stir in raisins. Pour batter into prepared pans.**Bake for 80 minutes.  Cool on wire racks.**",7003,https://images.media-allrecipes.com/userphotos/560x315/1024884.jpg
Apple Raisin Bread Recipe ,39,Helen Hanson,15 m,1 h,1 h 15 m,"flour,baking powder,baking soda,salt,cinnamon,nutmeg,brown sugar,oat,apple,walnut,raisin,egg,milk,vegetable oil","Preheat oven to 350 degrees F (175 degrees C).  Grease and flour an 8 1/2 x 4 1/2 inch loaf pan.**In a large bowl, combine flour, baking powder, baking soda, salt, cinnamon, nutmeg, brown sugar, and  oats.  Add apple, nuts, raisins, eggs, milk, and oil.  Mix until dry ingredients are moistened.**Bake for 55 to 60 minutes, or until done.  Cool on wire rack.**",7006,https://images.media-allrecipes.com/userphotos/560x315/21563.jpg
Buttermilk Oatmeal Bread Recipe ,41,Helen Hanson,10 m,1 h,1 h 40 m,"oat,buttermilk,vegetable oil,egg,brown sugar,flour,baking powder,baking soda,salt","Mix oats with buttermilk.  Let stand for 1/2 hour.**Stir oil, egg, and brown sugar into oat mixture. Stir together flour, baking powder, soda, and salt: mix into oat mixture.  Pour batter into a greased and floured 8 1/2 x 4 1/2 inch loaf pan.**Bake at 350 degrees F (175 degrees C) for 55 to 60 minutes, or until done.**",7007,https://images.media-allrecipes.com/userphotos/560x315/1149697.jpg
Kolaches II Recipe ,27,Nan,30 m,20 m,2 h 5 m,"shortening,white sugar,salt,milk,egg,lemon,yeast,flour,fruit","Cream shortening and sugar together.  Stir in salt, hot milk, beaten egg yolks, and flavoring.  When lukewarm, add yeast to mixture.  Let stand 5 minutes.  Add flour, beating well.  Knead down into bowl.  The dough will be slightly sticky.  Let rise 1 hour.**Cut off small balls of dough.  Roll into rounds in your hands, and place on greased cookie sheets 2 inches apart.  Let rise 15 minutes.**Make a depression into the center of each roll.  Fill with fruit preserves.**Bake at 450 degrees F (230 degrees C) until brown.  Watch carefully.  Cool on wire racks.**",7008,https://images.media-allrecipes.com/userphotos/250x250/943400.jpg
Whole Wheat Bread II Recipe ,91,Ruth Uitto,20 m,35 m,2 h 25 m,"shortening,water,brown sugar,yeast,water,white sugar,salt,bread,whole wheat","Dissolve brown sugar in 1 cup hot water.  Add shortening, and stir to melt.  Let cool.**In a large bowl, dissolve yeast in 4 cups warm water.  Add white sugar, salt, and bread flour.  Beat well.  Stir in shortening mixture.  Stir in enough whole wheat flour to make a stiff but not dry dough.**Turn out onto a lightly floured surface.  Knead until smooth and elastic.  Place in a large, well oiled bowl.  Cover, and allow to rise until dough doubles in bulk.**Divide dough into four equal parts.  Shape into loaves.  Place in greased, 9 x 5 inch pans,  turning each loaf over in pan to grease top.  Allow to rise until dough doubles in bulk.**Bake at 350 degrees F (175 degrees C) for 35 minutes. Let cool before slicing.**",7009,https://images.media-allrecipes.com/userphotos/560x315/5504282.jpg
Cottage Cheese Bread II Recipe ,27,Kathy Nowell,5 m,3 h,3 h 5 m,"water,cottage cheese,vegetable oil,egg,flour,white sugar,baking soda,salt,yeast","Add the ingredients to the pan of your bread machine in the order suggested by the manufacturer, and Start. You can use more bread flour if the dough seems too sticky.**",7012,https://images.media-allrecipes.com/userphotos/560x315/3129162.jpg
Mocha Chocolate Chip Banana Muffins Recipe ,579,Shelley Ross,10 m,25 m,35 m,"margarine,white sugar,egg,banana,coffee,water,vanilla,flour,salt,baking powder,baking soda,chocolate","Preheat oven to 350 degrees F (175 degrees C).**Blend butter or margarine, sugar, egg, banana, dissolved coffee, and vanilla in food processor for 2 minutes. Add flour, salt, baking powder, and soda, and blend just until flour disappears. Add chocolate chips and mix in with wooden spoon. Spoon mixture into 15 to 18 paper-lined muffin cups.**Bake for 25 minutes.  Cool on wire racks.**",7013,https://images.media-allrecipes.com/userphotos/560x315/1334257.jpg
^Ruby^^s Special Cornbread Recipe ^,4,Mitzi Lyons,10 m,45 m,55 m,"cornmeal,milk,egg,bell pepper,onion,garlic,salt,baking soda,white sugar,corn,pimento,vegetable oil,pepper","Preheat oven to 350 degrees F (175 degrees C).**Combine the cornmeal, milk, oil, eggs, chopped green bell pepper, chopped onion, garlic powder, salt, baking soda, sugar, drained corn kernels, pimentos and jalapeno peppers.  Mix until combined, and pour into a well greased 10 to 14 inch cast iron skillet.**Bake for 45 minutes.**",7014,https://images.media-allrecipes.com/userphotos/250x250/51489.jpg
